RECEITAS,UF,VALOR,DATA
TOTAL GERAL,AL,400526379.07555276,2015-12-31
TOTAL GERAL,AM,1175544088.7209177,2015-12-31
TOTAL GERAL,AP,73632343.2724548,2015-12-31
TOTAL GERAL,BA,2154008408.1109085,2015-12-31
TOTAL GERAL,CE,1664347192.3370996,2015-12-31
TOTAL GERAL,DF,12596439046.014982,2015-12-31
TOTAL GERAL,ES,1668816828.2044244,2015-12-31
TOTAL GERAL,GO,1264017852.847392,2015-12-31
TOTAL GERAL,MA,590981122.8409983,2015-12-31
TOTAL GERAL,MG,6724166476.381091,2015-12-31
TOTAL GERAL,MS,665900665.8356901,2015-12-31
TOTAL GERAL,MT,785752705.6759459,2015-12-31
TOTAL GERAL,PA,956703757.7624,2015-12-31
TOTAL GERAL,PB,517116276.9554669,2015-12-31
TOTAL GERAL,PE,2045069398.7497554,2015-12-31
TOTAL GERAL,PI,299544524.8785428,2015-12-31
TOTAL GERAL,PR,6124382717.07567,2015-12-31
TOTAL GERAL,RJ,19742005068.899208,2015-12-31
TOTAL GERAL,RN,477366170.50150067,2015-12-31
TOTAL GERAL,RO,267861217.89496237,2015-12-31
TOTAL GERAL,RR,87950290.51034108,2015-12-31
TOTAL GERAL,RS,5836989183.355963,2015-12-31
TOTAL GERAL,SC,4095340574.892348,2015-12-31
TOTAL GERAL,SE,317069395.28236264,2015-12-31
TOTAL GERAL,SP,50702684808.76413,2015-12-31
TOTAL GERAL,TO,158755432.20258194,2015-12-31
TOTAL GERAL,AC,98882017.93091287,2016-01-31
TOTAL GERAL,AL,310752623.98178315,2016-01-31
TOTAL GERAL,AM,1259646325.1991446,2016-01-31
TOTAL GERAL,AP,83340401.16519523,2016-01-31
TOTAL GERAL,BA,2226944489.2669754,2016-01-31
TOTAL GERAL,CE,1777231077.1558826,2016-01-31
TOTAL GERAL,DF,10340275463.726768,2016-01-31
TOTAL GERAL,ES,1870240691.4245234,2016-01-31
TOTAL GERAL,GO,1448199138.2322128,2016-01-31
TOTAL GERAL,MA,642086074.1733015,2016-01-31
TOTAL GERAL,MG,7992767086.781971,2016-01-31
TOTAL GERAL,MS,575928993.83351,2016-01-31
TOTAL GERAL,MT,796385816.5437578,2016-01-31
TOTAL GERAL,PA,858892607.8780745,2016-01-31
TOTAL GERAL,PB,517255202.88141775,2016-01-31
TOTAL GERAL,PE,2266346076.0261893,2016-01-31
TOTAL GERAL,PI,315888986.0419819,2016-01-31
TOTAL GERAL,PR,5752639912.691584,2016-01-31
TOTAL GERAL,RJ,25280582006.450512,2016-01-31
TOTAL GERAL,RN,484935503.4679726,2016-01-31
TOTAL GERAL,RO,260708947.1895302,2016-01-31
TOTAL GERAL,RR,86153674.71213472,2016-01-31
TOTAL GERAL,RS,6174824326.567967,2016-01-31
TOTAL GERAL,SC,4171528225.595017,2016-01-31
TOTAL GERAL,SE,322813771.75471157,2016-01-31
TOTAL GERAL,SP,53302584100.762314,2016-01-31
TOTAL GERAL,TO,167017017.7746499,2016-01-31
TOTAL GERAL,AC,76300429.82372698,2016-02-29
TOTAL GERAL,AL,274959376.3664558,2016-02-29
TOTAL GERAL,AM,922381906.1699754,2016-02-29
TOTAL GERAL,AP,63890143.488447756,2016-02-29
TOTAL GERAL,BA,1733699190.3641582,2016-02-29
TOTAL GERAL,CE,1298099889.7055743,2016-02-29
TOTAL GERAL,DF,7927208344.241753,2016-02-29
TOTAL GERAL,ES,1234374438.2748404,2016-02-29
TOTAL GERAL,GO,1103625957.2557175,2016-02-29
TOTAL GERAL,MA,513982612.238629,2016-02-29
TOTAL GERAL,MG,5066553844.837502,2016-02-29
TOTAL GERAL,MS,469127949.83547825,2016-02-29
TOTAL GERAL,MT,599373911.8948097,2016-02-29
TOTAL GERAL,PA,759036639.231662,2016-02-29
TOTAL GERAL,PB,410217225.9790648,2016-02-29
TOTAL GERAL,PE,1576391803.6582737,2016-02-29
TOTAL GERAL,PI,251236257.54312965,2016-02-29
TOTAL GERAL,PR,4364135571.673992,2016-02-29
TOTAL GERAL,RJ,14046164697.724867,2016-02-29
TOTAL GERAL,RN,386457112.1045457,2016-02-29
TOTAL GERAL,RO,205062782.41095498,2016-02-29
TOTAL GERAL,RR,70045374.8738748,2016-02-29
TOTAL GERAL,RS,4502313462.341988,2016-02-29
TOTAL GERAL,SC,3426249891.8432484,2016-02-29
TOTAL GERAL,SE,308147482.9289011,2016-02-29
TOTAL GERAL,SP,36130876377.13105,2016-02-29
TOTAL GERAL,TO,130839995.8973926,2016-02-29
TOTAL GERAL,AC,88662176.77429563,2016-03-31
TOTAL GERAL,AL,294839456.99805593,2016-03-31
TOTAL GERAL,AM,1118588913.0529468,2016-03-31
TOTAL GERAL,AP,71776297.27471837,2016-03-31
TOTAL GERAL,BA,1894747149.0734487,2016-03-31
TOTAL GERAL,CE,1364741873.993988,2016-03-31
TOTAL GERAL,DF,8786243701.503521,2016-03-31
TOTAL GERAL,ES,1436124622.6549711,2016-03-31
TOTAL GERAL,GO,1074356790.4624836,2016-03-31
TOTAL GERAL,MA,555618737.3046278,2016-03-31
TOTAL GERAL,MG,5137985127.063183,2016-03-31
TOTAL GERAL,MS,489773271.2834164,2016-03-31
TOTAL GERAL,MT,651423821.7457695,2016-03-31
TOTAL GERAL,PA,894043749.7158561,2016-03-31
TOTAL GERAL,PB,424052959.9559379,2016-03-31
TOTAL GERAL,PE,1743102983.5219216,2016-03-31
TOTAL GERAL,PI,251106126.08588025,2016-03-31
TOTAL GERAL,PR,5150076147.070733,2016-03-31
TOTAL GERAL,RJ,14471020121.453974,2016-03-31
TOTAL GERAL,RN,385535589.2118229,2016-03-31
TOTAL GERAL,RO,279338488.29982287,2016-03-31
TOTAL GERAL,RR,70145898.07746212,2016-03-31
TOTAL GERAL,RS,4616702943.737102,2016-03-31
TOTAL GERAL,SC,3346071324.497543,2016-03-31
TOTAL GERAL,SE,285986864.70316905,2016-03-31
TOTAL GERAL,SP,40767607462.37845,2016-03-31
TOTAL GERAL,TO,128869849.64490311,2016-03-31
TOTAL GERAL,AC,100857905.18260953,2016-04-30
TOTAL GERAL,AL,366573589.9620923,2016-04-30
TOTAL GERAL,AM,1076476279.907289,2016-04-30
TOTAL GERAL,AP,69349940.88787389,2016-04-30
TOTAL GERAL,BA,2201029216.762623,2016-04-30
TOTAL GERAL,CE,1620412846.4345427,2016-04-30
TOTAL GERAL,DF,10056408291.073372,2016-04-30
TOTAL GERAL,ES,1607105451.0664504,2016-04-30
TOTAL GERAL,GO,1344101102.9901803,2016-04-30
TOTAL GERAL,MA,629056979.9250968,2016-04-30
TOTAL GERAL,MG,6366217776.570904,2016-04-30
TOTAL GERAL,MS,687443872.6650025,2016-04-30
TOTAL GERAL,MT,823577025.3246537,2016-04-30
TOTAL GERAL,PA,890120152.8770645,2016-04-30
TOTAL GERAL,PB,534949032.9477348,2016-04-30
TOTAL GERAL,PE,1911849481.4447672,2016-04-30
TOTAL GERAL,PI,341815167.8263124,2016-04-30
TOTAL GERAL,PR,5856629671.285124,2016-04-30
TOTAL GERAL,RJ,16314012819.580381,2016-04-30
TOTAL GERAL,RN,510020102.7753335,2016-04-30
TOTAL GERAL,RO,292763360.7175907,2016-04-30
TOTAL GERAL,RR,78590894.49983533,2016-04-30
TOTAL GERAL,RS,6051324052.2745695,2016-04-30
TOTAL GERAL,SC,4027174647.035852,2016-04-30
TOTAL GERAL,SE,353913842.1512236,2016-04-30
TOTAL GERAL,SP,46602628825.86562,2016-04-30
TOTAL GERAL,TO,180818798.89590392,2016-04-30
TOTAL GERAL,AC,96882085.87047653,2016-05-31
TOTAL GERAL,AL,283660598.1881296,2016-05-31
TOTAL GERAL,AM,983407035.0294204,2016-05-31
TOTAL GERAL,AP,65528105.10408991,2016-05-31
TOTAL GERAL,BA,1982430601.2341714,2016-05-31
TOTAL GERAL,CE,1405531470.1640692,2016-05-31
TOTAL GERAL,DF,9186862097.2602,2016-05-31
TOTAL GERAL,ES,1375965042.269227,2016-05-31
TOTAL GERAL,GO,1089814588.444074,2016-05-31
TOTAL GERAL,MA,611299033.3949516,2016-05-31
TOTAL GERAL,MG,5451031226.845833,2016-05-31
TOTAL GERAL,MS,564670698.0125275,2016-05-31
TOTAL GERAL,MT,691601765.735182,2016-05-31
TOTAL GERAL,PA,790906349.28647,2016-05-31
TOTAL GERAL,PB,444104537.647517,2016-05-31
TOTAL GERAL,PE,1804137297.8281054,2016-05-31
TOTAL GERAL,PI,277577508.6568038,2016-05-31
TOTAL GERAL,PR,4877931051.034307,2016-05-31
TOTAL GERAL,RJ,14577099969.043888,2016-05-31
TOTAL GERAL,RN,416117798.05976254,2016-05-31
TOTAL GERAL,RO,227702921.34121305,2016-05-31
TOTAL GERAL,RR,78980266.96979563,2016-05-31
TOTAL GERAL,RS,5202446398.946477,2016-05-31
TOTAL GERAL,SC,3547617621.7258124,2016-05-31
TOTAL GERAL,SE,299501588.0680693,2016-05-31
TOTAL GERAL,SP,38738898502.16051,2016-05-31
TOTAL GERAL,TO,146999227.8189268,2016-05-31
TOTAL GERAL,AC,91659182.72240087,2016-06-30
TOTAL GERAL,AL,279263939.21129453,2016-06-30
TOTAL GERAL,AM,977234039.9219192,2016-06-30
TOTAL GERAL,AP,71570885.91019818,2016-06-30
TOTAL GERAL,BA,1969594146.28536,2016-06-30
TOTAL GERAL,CE,1377270775.0958784,2016-06-30
